20200117,5,3,-7,阴~晴
20200118,6,-2,-4,雾~多云
20200119,7,5,-4,多云~晴
20200120,1,6,-7,晴
20200121,2,4,-6,多云~晴
20200122,3,6,-5,晴
20200123,4,8,-6,晴
20200124,5,4,-6,晴
20200125,6,5,-5,多云
20200126,7,3,-4,阴~多云
20200127,1,5,-4,阴
20200128,2,5,-4,阴~霾
20200129,3,8,-6,多云~晴
20200130,4,6,-6,晴
20200131,5,8,-5,晴
20200201,6,4,-3,多云~小雪
20200202,7,3,-7,小雪~晴
20200203,1,3,-6,晴
20200204,2,2,-8,晴~多云
20200205,3,-3,-6,小雪
20200206,4,-3,-9,中雪~多云
20200207,5,1,-7,多云~晴
20200208,6,7,-7,晴
20200209,7,6,-5,多云~晴
20200210,1,12,-5,雾~晴
20200211,2,10,-2,雾
20200212,3,11,-2,雾
20200213,4,8,0,雾~雨夹雪
20200214,5,0,-6,暴雪~阴
20200215,6,0,-4,中雪~晴
20200216,7,3,-5,阴~晴
20200217,1,6,-5,晴
20200218,2,10,-4,多云~晴
20200219,3,8,-4,晴~多云
20200220,4,4,-3,多云~晴
20200221,5,9,-2,多云~晴
20200222,6,9,-3,晴
20200223,7,10,0,晴~多云
20200224,1,9,3,阴~小雨
